2018.11.06 02:42:03 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@6d7fa44 [pattern=UrlPattern{inclusions=[/api/system/migrate_db/*, ...], exclusions=[/api/properties*, ...]}]
2018.11.06 02:42:03 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2018.11.06 02:42:05 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2018.11.06 02:42:07 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AWbjZBDclbP9I9-LSvE-
2018.11.06 02:42:07 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2018.11.06 02:42:07 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2018.11.06 02:42:07 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2018.11.06 02:42:07 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2018.11.06 02:42:08 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2018.11.06 02:42:08 INFO  web[][o.s.s.r.RegisterRules] Register rules
2018.11.06 02:42:14 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2018.11.06 02:42:15 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2018.11.06 02:42:15 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vf/CodeScan way
2018.11.06 02:42:16 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2018.11.06 02:42:16 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile sf/CodeScan way
2018.11.06 02:42:17 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile sf/CodeScan strict way
2018.11.06 02:42:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2018.11.06 02:42:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2018.11.06 02:42:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
